Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),Mapped_Region
Vologda Oblast,2021,4.79,55.96,8.95,1.07,0.91,0.54,1.32,9.0,Vologda Oblast
Kaliningrad Oblast,2021,6.41,44.58,5.4,1.65,1.06,1.56,0.9,7.5,Kaliningrad Oblast
Leningrad Oblast,2021,6.59,52.7,7.63,1.8,1.56,1.11,0.97,8.9,Leningrad Oblast
murmansk oblast,2021,5.91,73.85,8.3,2.01,1.93,1.0,1.08,10.6,Murmansk Oblast
Novgorod Oblast,2021,4.43,55.08,6.45,1.21,1.08,0.91,0.96,7.9,Novgorod Oblast
Pskov Oblast,2021,4.6,53.1,5.91,1.46,1.0,0.68,0.81,7.6,Pskov Oblast
saint petersburg,2021,7.1,34.35,4.6,2.3,1.31,1.24,0.76,6.6,Saint Petersburg
arkhangelsk oblast,2021,6.14,52.42,9.28,1.66,1.12,0.69,0.93,9.3,Arkhangelsk Oblast
adygea,2021,1.68,58.52,3.02,0.89,0.54,0.4,0.26,5.2,Adygea
kalmykia,2021,0.94,21.5,4.06,0.25,0.4,0.05,0.22,3.5,Kalmykia
republic of crimea,2021,5.68,54.87,4.53,2.14,1.23,0.75,0.48,6.9,Republic of Crimea
Krasnodar Krai,2021,4.24,41.47,3.58,1.89,0.89,0.44,0.44,5.5,Krasnodar Krai
Astrakhan Oblast,2021,1.89,37.98,4.01,0.66,0.58,0.19,0.41,4.8,Astrakhan Oblast
Volgograd Oblast,2021,2.34,36.17,3.09,1.04,0.55,0.21,0.45,4.5,Volgograd Oblast
Rostov Oblast,2021,2.16,31.04,2.76,1.15,0.61,0.37,0.35,4.0,Rostov Oblast
sevastopol,2021,6.41,38.9,5.44,3.21,1.43,0.62,0.6,6.8,Sevastopol
dagestan,2021,0.29,5.36,1.14,0.1,0.24,0.0,0.01,0.9,Dagestan
ingushetia,2021,0.03,0.29,0.4,0.01,0.04,0.0,0.01,0.2,Ingushetia
kabardinobalkaria,2021,0.38,6.83,0.68,0.16,0.2,0.03,0.04,0.9,Kabardino-Balkaria
karachaycherkessia,2021,0.58,8.97,1.21,0.23,0.21,0.03,0.1,1.3,Karachay-Cherkessia
north ossetiaalania,2021,0.51,5.97,0.76,0.4,0.18,0.04,0.06,1.0,North Ossetia-Alania
chechnya,2021,0.03,1.11,0.17,0.0,0.02,0.02,0.0,0.1,Chechnya
